
Data: 2019-04-09 21:13:20.690395
		Timestamp: 23784
		Accx: -111
		Accy: -132
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -468
		Magny: 132
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: EE5C91FF7BFF080404000900030028FE8E00AFFE
		Timestamp: 23790
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -472
		Magny: 142
		Magnz: -337
Valore accelerometro, giroscopio e magnetometro: F55C91FF7BFF09040400090003002FFE8700ADFE
		Timestamp: 23797
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -465
		Magny: 135
		Magnz: -339
Valore accelerometro, giroscopio e magnetometro: FB5C91FF7BFF090404000900020029FE9100A4FE
		Timestamp: 23803
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -471
		Magny: 145
		Magnz: -348
Valore temperatura e pressione: 005DED860100ED00
		Timestamp: 23808
		Pressione: 1000.77 mbar
		Temperatura: 23.7 °C
Valore accelerometro, giroscopio e magnetometro: 015D91FF7BFF090404000900030028FE8B00A6FE
		Timestamp: 23809
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -472
		Magny: 139
		Magnz: -346
Valore accelerometro, giroscopio e magnetometro: 075D90FF7CFF090403000900030023FE8D00A7FE
		Timestamp: 23815
		Accx: -112
		Accy: -132
		Accz: 1033
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -477
		Magny: 141
		Magnz: -345
Valore accelerometro, giroscopio e magnetometro: 0E5D90FF7BFF080403000900030035FE8500A7FE
		Timestamp: 23822
		Accx: -112
		Accy: -133
		Accz: 1032
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -459
		Magny: 133
		Magnz: -345
Valore accelerometro, giroscopio e magnetometro: 145D91FF7BFF090404000900030025FE8700ACFE
		Timestamp: 23828
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -475
		Magny: 135
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: 1A5D91FF7BFF080404000900030032FE8A00ADFE
		Timestamp: 23834
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -462
		Magny: 138
		Magnz: -339
Valore accelerometro, giroscopio e magnetometro: 205D91FF7BFF080403000900020029FE8800AAFE
		Timestamp: 23840
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -471
		Magny: 136
		Magnz: -342
Valore accelerometro, giroscopio e magnetometro: 275D91FF7CFF0A040300090002002CFE8400A6FE
		Timestamp: 23847
		Accx: -111
		Accy: -132
		Accz: 1034
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -468
		Magny: 132
		Magnz: -346
Valore accelerometro, giroscopio e magnetometro: 2D5D92FF7DFF06040300090003002FFE8A00A9FE
		Timestamp: 23853
		Accx: -110
		Accy: -131
		Accz: 1030
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -465
		Magny: 138
		Magnz: -343
